n,c_n
-50,(0.004093480077027848-0.12040935285681793j)
-49,(0.24363158750567665+0.037703781526758365j)
-48,(-0.12468681550744676-0.0442648664627562j)
-47,(0.05951437232289649-0.05288688931105623j)
-46,(0.0658953843451618-0.000587788284199985j)
-45,(0.0817597257900054-0.05015076839596025j)
-44,(0.05026754860286663+0.07759170975362575j)
-43,(-0.0548142494234094+0.015868320754708787j)
-42,(-0.021031412655680745-0.03745597321695166j)
-41,(-0.1056048456318641+0.14008847965738447j)
-40,(-0.04298018055202649-0.12744744531380792j)
-39,(0.03140705660948125-0.10924377341226371j)
-38,(0.05532092541793639-0.013406931132760057j)
-37,(0.05275806948827229+0.010379721253226497j)
-36,(0.11885667248832864-0.04665430350380725j)
-35,(0.11469021036807038+0.15878355005785647j)
-34,(0.046486945840574515+0.03714868883796934j)
-33,(-0.12759938940179566-0.07478278746308682j)
-32,(0.16682808360355192+0.009217057497809572j)
-31,(0.11996536387727587+0.1653548757786416j)
-30,(-0.24443461959295054+0.10574205058756138j)
-29,(-0.09453094205892261-0.19542016626613737j)
-28,(0.08353788716695038-0.05721058247424849j)
-27,(0.19339260518195167-0.08220199826807546j)
-26,(0.22685005078573153+0.014295982401828534j)
-25,(0.10061902128418125+0.10095680314013279j)
-24,(0.33756872940326144+0.6203998496288707j)
-23,(-0.35221525275177185+0.6420996177648456j)
-22,(-0.6315381156830566-0.24536678996810152j)
-21,(-0.49052318307373804-0.20292114120284j)
-20,(-0.052574338873600836-0.49901552831062285j)
-19,(0.9371682646963674-0.403648539701951j)
-18,(-0.4763603193081572-0.8418310701397472j)
-17,(0.48936708162828385+0.9969699573095817j)
-16,(0.40303428565588784+0.6083442514049948j)
-15,(-0.8307850285038191-0.31624301360020585j)
-14,(-0.08422683684944249+0.74654128236012j)
-13,(-1.6573259034210595+2.8289564465972457j)
-12,(-3.118614857391519-3.7035138945684785j)
-11,(1.4327043376974706+0.7531557147371682j)
-10,(-0.3246365763827316+0.21293453649387006j)
-9,(-1.0070037895464206-2.4637946443319283j)
-8,(0.9799328875598617-2.495192976472528j)
-7,(7.026281214864231+3.5866007438719953j)
-6,(-2.9213498205328228-4.070904989434138j)
-5,(6.25234103968842+11.78927000965321j)
-4,(3.979110647584512-11.450307781253589j)
-3,(-4.9012795865861705-1.999199648073528j)
-2,(-25.927704407121112+33.94766297230723j)
-1,(-46.283821904135316+140.85196839846108j)
0,(261.27813595863756+222.81423776380456j)
1,(-28.095060107447352-3.651985397153434j)
2,(-14.487793830341307-13.841645568226067j)
3,(-3.2743009748000347-4.5533004116888804j)
4,(0.9825577771177594-12.916465113373308j)
5,(2.204090817980219+6.895882444011538j)
6,(3.7360586698171594-7.04094055030326j)
7,(-0.30957500442727554+5.634743735905944j)
8,(-3.356262389028589+2.2134944003568098j)
9,(0.7638889583409112-3.4091901963743427j)
10,(-1.6797378001735221+2.119515790483413j)
11,(1.4093089770184344-0.6443821251341318j)
12,(-0.22030953486657476-0.5663600401047233j)
13,(0.8504734182400365-0.7910772549086137j)
14,(1.7965784453864126+0.19744362097652707j)
15,(-0.4847207354520694+1.0770427955195951j)
16,(1.0680309911614032-0.0037225113596847602j)
17,(-0.2746053082753457-0.011261140537212836j)
18,(-0.7506360882908014+0.2678704371583276j)
19,(0.5970300213000818-0.6081730760067965j)
20,(-0.09928497348626467-0.18514889709411608j)
21,(-0.010053349571389276+0.14606841013712737j)
22,(0.030026081795922404-0.3310666382124768j)
23,(0.27254118381272396+0.41389163565668396j)
24,(0.16121453632084173-0.04807908016423822j)
25,(-0.15103551531005277+0.48776392066528784j)
26,(-0.23995792325757226+0.20179321592393357j)
27,(0.0062156632492813705-0.3679660590084051j)
28,(-0.2990533338927709+0.19050883371679236j)
29,(0.07203056769332629-0.08216505987312678j)
30,(0.2639508606465024-0.28251763748101993j)
31,(0.0003240218059316931+0.5313418046921533j)
32,(-0.11983713293304593-0.04839672003553479j)
33,(-0.1214099086904561+0.01742516821664694j)
34,(-0.16421890426571878+0.05510340145449909j)
35,(-0.04679350242473927-0.0822391733220332j)
36,(-0.03144860574564406-0.12527829644389668j)
37,(0.288981391366148-0.031431348494818837j)
38,(-0.07851146520286055+0.18569597920367772j)
39,(-0.14680984466993086+0.068126605199046j)
40,(0.03956359981510742+0.08772118709202446j)
41,(-0.0552066025712866-0.07653018730337724j)
42,(-0.09136164807889822-0.10313576965452108j)
43,(0.025259504835026564-0.06780590372129593j)
44,(0.08852254320262758-0.09629689230389807j)
45,(0.02133751079384578+0.06087331441590183j)
46,(-0.059856472950217475-0.030315294694001762j)
47,(0.0195702866761404-0.01737589002132967j)
48,(-0.013955233977961515+0.011386515261716967j)
49,(-0.053784680773985766-0.05948035320549205j)
50,(-0.09414427668041575-0.026396845836804746j)
